STRUCTURE,STRUCTURE_ID,STRUCTURE_NAME,ACTION,REF_AREA,Zone de référence,MEASURE,Mesure,UNIT_MEASURE,Unité de measure,PAY_PERIOD,Période de paie,PRICE_BASE,Type de prix,AGGREGATION_OPERATION,Opération d'agrégation,SEX,Sexe,TIME_PERIOD,Période temporelle,OBS_VALUE,Valeur d'observation,BASE_PER,Période de base,OBS_STATUS,Statut d'observation,UNIT_MULT,Multiplicateur d'unité,DECIMALS,Décimales
DATAFLOW,OECD.ELS.SAE:DSD_EARNINGS@AV_AN_WAGE(1.0),Salaire annuel moyen,I,AUT,Autriche,WG,Wages,USD_PPP,"Dollars des É-U, PPA convertis",A,Annuelle,Q,Prix constants,MEAN,Moyenne,_Z,Non applicable,2004,,68251.938,,2024,,A,Valeur normale,0,Units,0,Zero
DATAFLOW,OECD.ELS.SAE:DSD_EARNINGS@AV_AN_WAGE(1.0),Salaire annuel moyen,I,AUT,Autriche,WG,Wages,USD_PPP,"Dollars des É-U, PPA convertis",A,Annuelle,Q,Prix constants,MEAN,Moyenne,_Z,Non applicable,2005,,68622.299,,2024,,A,Valeur normale,0,Units,0,Zero
DATAFLOW,OECD.ELS.SAE:DSD_EARNINGS@AV_AN_WAGE(1.0),Salaire annuel moyen,I,AUT,Autriche,WG,Wages,USD_PPP,"Dollars des É-U, PPA convertis",A,Annuelle,Q,Prix constants,MEAN,Moyenne,_Z,Non applicable,2006,,69651.63,,2024,,A,Valeur normale,0,Units,0,Zero
DATAFLOW,OECD.ELS.SAE:DSD_EARNINGS@AV_AN_WAGE(1.0),Salaire annuel moyen,I,AUT,Autriche,WG,Wages,USD_PPP,"Dollars des É-U, PPA convertis",A,Annuelle,Q,Prix constants,MEAN,Moyenne,_Z,Non applicable,2007,,70059.18,,2024,,A,Valeur normale,0,Units,0,Zero
DATAFLOW,OECD.ELS.SAE:DSD_EARNINGS@AV_AN_WAGE(1.0),Salaire annuel moyen,I,AUT,Autriche,WG,Wages,USD_PPP,"Dollars des É-U, PPA convertis",A,Annuelle,Q,Prix constants,MEAN,Moyenne,_Z,Non applicable,2008,,71218.017,,2024,,A,Valeur normale,0,Units,0,Zero
DATAFLOW,OECD.ELS.SAE:DSD_EARNINGS@AV_AN_WAGE(1.0),Salaire annuel moyen,I,AUT,Autriche,WG,Wages,USD_PPP,"Dollars des É-U, PPA convertis",A,Annuelle,Q,Prix constants,MEAN,Moyenne,_Z,Non applicable,2009,,72435.383,,2024,,A,Valeur normale,0,Units,0,Zero
DATAFLOW,OECD.ELS.SAE:DSD_EARNINGS@AV_AN_WAGE(1.0),Salaire annuel moyen,I,AUT,Autriche,WG,Wages,USD_PPP,"Dollars des É-U, PPA convertis",A,Annuelle,Q,Prix constants,MEAN,Moyenne,_Z,Non applicable,2010,,72103.745,,2024,,A,Valeur normale,0,Units,0,Zero
DATAFLOW,OECD.ELS.SAE:DSD_EARNINGS@AV_AN_WAGE(1.0),Salaire annuel moyen,I,AUT,Autriche,WG,Wages,USD_PPP,"Dollars des É-U, PPA convertis",A,Annuelle,Q,Prix constants,MEAN,Moyenne,_Z,Non applicable,2011,,71327.643,,2024,,A,Valeur normale,0,Units,0,Zero
DATAFLOW,OECD.ELS.SAE:DSD_EARNINGS@AV_AN_WAGE(1.0),Salaire annuel moyen,I,AUT,Autriche,WG,Wages,USD_PPP,"Dollars des É-U, PPA convertis",A,Annuelle,Q,Prix constants,MEAN,Moyenne,_Z,Non applicable,2012,,71731.843,,2024,,A,Valeur normale,0,Units,0,Zero
DATAFLOW,OECD.ELS.SAE:DSD_EARNINGS@AV_AN_WAGE(1.0),Salaire annuel moyen,I,AUT,Autriche,WG,Wages,USD_PPP,"Dollars des É-U, PPA convertis",A,Annuelle,Q,Prix constants,MEAN,Moyenne,_Z,Non applicable,2013,,71761.772,,2024,,A,Valeur normale,0,Units,0,Zero
DATAFLOW,OECD.ELS.SAE:DSD_EARNINGS@AV_AN_WAGE(1.0),Salaire annuel moyen,I,AUT,Autriche,WG,Wages,USD_PPP,"Dollars des É-U, PPA convertis",A,Annuelle,Q,Prix constants,MEAN,Moyenne,_Z,Non applicable,2014,,72033.928,,2024,,A,Valeur normale,0,Units,0,Zero
DATAFLOW,OECD.ELS.SAE:DSD_EARNINGS@AV_AN_WAGE(1.0),Salaire annuel moyen,I,AUT,Autriche,WG,Wages,USD_PPP,"Dollars des É-U, PPA convertis",A,Annuelle,Q,Prix constants,MEAN,Moyenne,_Z,Non applicable,2015,,72558.786,,2024,,A,Valeur normale,0,Units,0,Zero
DATAFLOW,OECD.ELS.SAE:DSD_EARNINGS@AV_AN_WAGE(1.0),Salaire annuel moyen,I,AUT,Autriche,WG,Wages,USD_PPP,"Dollars des É-U, PPA convertis",A,Annuelle,Q,Prix constants,MEAN,Moyenne,_Z,Non applicable,2016,,73253.777,,2024,,A,Valeur normale,0,Units,0,Zero
DATAFLOW,OECD.ELS.SAE:DSD_EARNINGS@AV_AN_WAGE(1.0),Salaire annuel moyen,I,AUT,Autriche,WG,Wages,USD_PPP,"Dollars des É-U, PPA convertis",A,Annuelle,Q,Prix constants,MEAN,Moyenne,_Z,Non applicable,2017,,73263.137,,2024,,A,Valeur normale,0,Units,0,Zero
DATAFLOW,OECD.ELS.SAE:DSD_EARNINGS@AV_AN_WAGE(1.0),Salaire annuel moyen,I,AUT,Autriche,WG,Wages,USD_PPP,"Dollars des É-U, PPA convertis",A,Annuelle,Q,Prix constants,MEAN,Moyenne,_Z,Non applicable,2018,,73540.157,,2024,,A,Valeur normale,0,Units,0,Zero
DATAFLOW,OECD.ELS.SAE:DSD_EARNINGS@AV_AN_WAGE(1.0),Salaire annuel moyen,I,AUT,Autriche,WG,Wages,USD_PPP,"Dollars des É-U, PPA convertis",A,Annuelle,Q,Prix constants,MEAN,Moyenne,_Z,Non applicable,2019,,74147.783,,2024,,A,Valeur normale,0,Units,0,Zero
DATAFLOW,OECD.ELS.SAE:DSD_EARNINGS@AV_AN_WAGE(1.0),Salaire annuel moyen,I,AUT,Autriche,WG,Wages,USD_PPP,"Dollars des É-U, PPA convertis",A,Annuelle,Q,Prix constants,MEAN,Moyenne,_Z,Non applicable,2020,,74353.046,,2024,,A,Valeur normale,0,Units,0,Zero
DATAFLOW,OECD.ELS.SAE:DSD_EARNINGS@AV_AN_WAGE(1.0),Salaire annuel moyen,I,AUT,Autriche,WG,Wages,USD_PPP,"Dollars des É-U, PPA convertis",A,Annuelle,Q,Prix constants,MEAN,Moyenne,_Z,Non applicable,2021,,75501.799,,2024,,A,Valeur normale,0,Units,0,Zero
DATAFLOW,OECD.ELS.SAE:DSD_EARNINGS@AV_AN_WAGE(1.0),Salaire annuel moyen,I,AUT,Autriche,WG,Wages,USD_PPP,"Dollars des É-U, PPA convertis",A,Annuelle,Q,Prix constants,MEAN,Moyenne,_Z,Non applicable,2022,,73761.494,,2024,,A,Valeur normale,0,Units,0,Zero
DATAFLOW,OECD.ELS.SAE:DSD_EARNINGS@AV_AN_WAGE(1.0),Salaire annuel moyen,I,AUT,Autriche,WG,Wages,USD_PPP,"Dollars des É-U, PPA convertis",A,Annuelle,Q,Prix constants,MEAN,Moyenne,_Z,Non applicable,2023,,73585.512,,2024,,A,Valeur normale,0,Units,0,Zero
DATAFLOW,OECD.ELS.SAE:DSD_EARNINGS@AV_AN_WAGE(1.0),Salaire annuel moyen,I,AUT,Autriche,WG,Wages,USD_PPP,"Dollars des É-U, PPA convertis",A,Annuelle,Q,Prix constants,MEAN,Moyenne,_Z,Non applicable,2024,,75767.15,,2024,,A,Valeur normale,0,Units,0,Zero
DATAFLOW,OECD.ELS.SAE:DSD_EARNINGS@AV_AN_WAGE(1.0),Salaire annuel moyen,I,BEL,Belgique,WG,Wages,USD_PPP,"Dollars des É-U, PPA convertis",A,Annuelle,Q,Prix constants,MEAN,Moyenne,_Z,Non applicable,2000,,69596.967,,2024,,A,Valeur normale,0,Units,0,Zero
DATAFLOW,OECD.ELS.SAE:DSD_EARNINGS@AV_AN_WAGE(1.0),Salaire annuel moyen,I,BEL,Belgique,WG,Wages,USD_PPP,"Dollars des É-U, PPA convertis",A,Annuelle,Q,Prix constants,MEAN,Moyenne,_Z,Non applicable,2001,,69809.073,,2024,,A,Valeur normale,0,Units,0,Zero
